,mass,year,reclat,reclong,log(mass)
160,1400.0,1973,38.47028,-105.24139,3.146128035678238
161,2300.0,1846,37.26667,-89.58333,3.361727836017593
162,750.0,1934,-30.88333,-64.55,2.8750612633917
163,342.0,2007,-16.66444,-69.04389,2.534026106056135
164,8.0,1902,38.5,27.0,0.9030899869919435
165,7300.0,1874,36.08333,-78.06667,3.863322860120456
166,94.0,1848,44.38333,-68.75,1.9731278535996986
167,15000.0,1583,39.8,16.2,4.176091259055681
168,1360.0,1810,36.5,-79.25,3.1335389083702174
169,1025.0,1988,26.46667,-105.23333,3.010723865391773
170,45.6,1956,43.2,-96.91667,1.658964842664435
171,6460.0,1840,45.08333,8.3,3.8102325179950842
172,3700.0,1998,28.53333,109.31667,3.568201724066995
173,0.5,1814,25.36667,81.66667,-0.3010299956639812
174,8200.0,1907,25.85,83.48333,3.9138138523837167
175,18300.0,1933,-30.78333,-58.05,4.26245108973043
176,8800.0,1838,20.26667,76.01667,3.9444826721501687
177,1100.0,1885,27.28333,79.05,3.041392685158225
178,1810.0,1977,29.08333,111.75,3.2576785748691846
179,31500.0,1812,46.68333,1.05,4.498310553789601
180,4300.0,1835,36.16667,-87.33333,3.6334684555795866
181,27000.0,1810,47.93333,1.56667,4.431363764158987
182,12000.0,1834,29.48333,75.5,4.079181246047625
183,4000.0,1815,47.71667,5.36667,3.6020599913279625
184,30000.0,1841,47.93333,2.91667,4.477121254719663
185,2945.0,1925,41.93333,-7.46667,3.4690852991231202
186,2936.0,1988,-3.66667,32.5,3.467756051244033
187,100000.0,2013,54.81667,61.11667,5.0
188,100000.0,2007,23.69639,-5.01472,5.0
189,6000.0,1964,53.7,30.1,3.7781512503836434
190,8400.0,1933,35.03333,-81.88333,3.9242792860618816
191,705.0,1901,46.55,6.81667,2.848189116991399
192,1700.0,1939,50.83333,34.0,3.230448921378274
193,72.0,1880,14.5,76.5,1.8573324964312685
194,367.0,1981,17.9,101.63333,2.5646660642520893
195,303.0,1938,40.93333,-79.73333,2.481442628502305
196,3920.0,1988,-10.05944,33.395,3.593286067020457
197,4000.0,1978,47.47083,0.97667,3.6020599913279625
198,1600.0,1979,-6.95,108.1,3.2041199826559246
199,1455.0,1984,32.1025,-81.87278,3.162862993321926
200,104000.0,1917,44.9,-90.28333,5.017033339298781
